Codigo;Latitud;Longitud
52057100;0.814;-77.662
52055170;0.930305556;-77.49119444
52055220;1.070611111;-77.63688889
44015070;1.082888889;-76.66711111
48015040;-3.78;-70.363
52055150;0.843111111;-77.38880556
44037040;1.72525;-75.66638889
51039010;1.819305556;-78.73027778
51025060;1.408638889;-78.28161111
51025090;1.55;-78.696
52077010;1.624055556;-77.47891667
51027060;1.424;-78.67
51020011;1.142;-77.929
44015060;1.157333333;-76.65183333
52055210;1.16;-77.27880556
26015030;2.356848889;-76.40354389
52035040;1.6185;-77.34361111
26015010;2.474833056;-76.58129361
21015050;1.925916667;-76.42755556
21015040;2.021583333;-76.11433333
52015050;2.032777778;-77.22166667
52025090;2.193833333;-76.75033333
21015060;2.221111111;-76.11888889
46015030;2.063;-74.76269444
21047010;2.232;-75.649
53075020;2.311416667;-77.25877778
26035090;2.699;-76.595
52045080;1.225111111;-77.28338889
21115170;2.759138889;-75.07455556
21097070;2.943;-75.309
57025020;2.963;-78.174
22025040;2.978;-76.064
24035380;6.509111111;-72.31416667
21057030;2.523;-75.962
21055070;2.548194444;-76.06394444
53045040;2.574416667;-77.89475
21087080;2.644;-75.544
21115180;3.133055556;-75.08152778
26075120;3.314055556;-76.18569444
26055100;3.416055556;-76.6515
26055110;3.185361111;-76.56930556
26135320;4.802611111;-75.38047222
26055120;3.378;-76.53388889
26085160;3.4255;-76.56061111
54077210;3.925147222;-77.34900556
21185090;4.188138889;-74.96047222
21195170;3.993611111;-74.39805556
21167090;4.011;-74.719
22075050;4.075805556;-75.70083333
35017020;4.103019444;-72.93638333
21167080;3.725194444;-74.82644444
26095320;3.834805556;-76.30000556
21137010;3.85;-74.936
21137050;3.443194444;-75.11880556
26085170;3.4545;-76.49972222
26105240;3.879111111;-76.10055556
21215190;4.435666667;-75.50036111
21217180;4.482;-75.286
23125170;5.333333333;-74.016666667
21195190;4.310111111;-74.31175
21206920;4.35;-74.15
21237010;4.387777778;-74.838375
31095030;3.868;-67.932
21195160;4.477;-74.384
22057010;3.908388889;-75.10327778
53119010;3.890175;-77.06190833
21235030;4.305333333;-74.80811111
21215160;4.470361111;-75.24386111
21215170;4.402;-75.229
26127010;4.41;-75.875
26105250;4.689777778;-75.92519444
26127040;4.758;-75.899
21255160;4.760722222;-74.83425
26135300;4.761916667;-75.74491667
26115090;4.775583333;-76.14427778
21206990;4.691416667;-74.209
26137220;4.728194444;-75.60344444
26125300;4.528305556;-75.59638889
35035130;4.713666667;-73.80325
21215180;4.418388889;-75.24866667
21206980;4.784277778;-73.87080556
21206940;4.577;-74.177
35025080;4.661;-73.82733333
35085070;4.84125;-73.25669444
26135310;4.847;-75.636
26155240;4.859444444;-75.38241667
21255170;4.870555556;-75.17327778
26177030;4.893;-75.883
35225030;4.91;-71.433
26135290;4.929583333;-75.73838889
26125290;4.531583333;-75.69069444
21206960;4.6;-74.06666667
21205012;4.638083333;-74.08908333
21209920;5.19225;-73.77905556
24015110;5.303805556;-73.85175
35215020;5.32;-72.388
35075080;5.392388889;-73.56277778
35237030;5.414;-71.668
23017040;5.206;-74.914
26145090;5.207472222;-75.90294444
35075070;5.21925;-73.35038889
54017040;5.265111111;-76.56275
35085060;5.294944444;-73.16994444
23065180;5.016861111;-74.47097222
26155220;5.048666667;-75.51388889
26155230;5.08525;-75.50713889
21206790;5.0905;-73.88125
35085080;5.099194444;-73.436
23065190;5.137611111;-74.48125
23035030;5.492861111;-74.658
35235040;5.419;-71.666
35217030;5.438;-72.455
23037010;5.469666667;-74.66216667
35160010;5.478;-72.949
55015010;5.521083333;-76.97316667
23125160;5.647027778;-74.07130556
23067060;5.125305556;-74.44705556
11027070;5.515;-76.576
35195060;5.524;-72.791
35217060;5.54;-72.232
35095120;5.556638889;-72.88175
35165000;5.575;-72.941
35167010;5.584;-72.9
35160020;5.6;-72.913
35160000;5.614;-72.867
24035360;5.985416667;-72.99702778
35215030;5.721;-72.488
23057140;5.731;-74.726
26187040;5.721138889;-75.55258333
26185050;5.859583333;-75.55627778
24035430;5.745916667;-73.11636111
24035410;5.753333333;-72.91115278
26185030;5.799166667;-75.78952778
36015020;5.816194444;-71.41983333
24025090;6.47;-72.96888889
26207080;5.965944444;-75.84147222
23097030;6.485;-74.401
24035370;6.506722222;-72.45266667
23127020;6.526;-74.086
27015300;6.253;-75.55
56019010;6.269;-77.433
23087210;6.276083333;-74.67330556
27015290;6.286333333;-75.61279167
35025110;4.057361111;-73.46791667
23195190;7.1;-73.066
23117030;6.733;-74.16
16027300;7.537194444;-72.77113889
23105070;6.571638889;-74.79472222
23195230;7.102611111;-73.10730556
27015280;6.632027778;-75.64444444
24035390;6.945388889;-72.69633333
24055070;6.823388889;-73.47205556
24055080;6.982972222;-73.70488889
37057020;7.035;-71.41638889
3206500045;3.516333333;-73.739733333
37015030;7.187;-72.8685
25017010;7.987972222;-75.41733333
23195240;8.123416667;-73.57986111
13037040;8.161;-76.096
27037010;8.03;-74.786
27037030;7.475;-74.921
